Drug Name,Article Content,Side Effects
Haloperidol,"Haloperidol is a medicine that helps with mental health conditions such as: confusion and aggression at the end of life (palliative care) feelings of agitation or anxiety schizophrenia , where you may see, hear or feel things that are not there, believe things that are not true, feel unusually suspicious, or have muddled thoughts the mania symptoms of bipolar disorder , where your mood changes from feeling highly excited (mania) to feeling very low (depression) severe confusion and aggression in Alzheimer's disease and other types of dementia , if other treatments have not worked It's also used as an anti-sickness medicine to treat: feeling or being sick (nausea or vomiting) caused by general anaesthetics , used to put you to sleep for an operation feeling or being sick at the end of life (palliative care) It also treats some conditions that affect movement, such as severe Tourette's syndrome . Haloperidol is an antipsychotic medicine that works by blocking certain types of nerve (neuron) activity in the brain. This can help with feelings of anxiety and other symptoms of mental health conditions. It also helps block activity in the area of the brain that controls feeling and being sick. Haloperidol is only available on prescription. It comes as tablets and as a liquid that you swallow. It can also be given as an injection but this is usually done in hospital. Key facts Haloperidol tablets and liquid start to work after 1 to 2 hours. If you're taking it for a long-term mental health condition, it may take several weeks to feel the full benefit. Common side effects include feeling dizzy, constipation and a dry mouth. They're usually mild and go away by themselves. If you start or stop smoking during treatment, tell your medical team, as your dose may need to be changed. It's best not to drink alcohol while taking haloperidol. It can increase the chance of side effects, such as feeling sleepy and low blood pressure. Do not drive, cycle or use machinery if you feel tired or dizzy after taking haloperidol.",
Heparinoid,"Heparinoid is a medicine that helps to prevent small blood clots from forming and reduces the swelling of the veins just under your skin. Heparinoid is used to treat: bruises internal bruising (haematoma) inflamed veins near the surface of the skin caused by small blood clots – superficial thrombophlebitis It comes as a cream or gel. The gel has an added cooling effect. Heparinoid is available on prescription and to buy from pharmacies and shops. Key facts You can use heparinoid up to 4 times a day. It's generally a very safe medicine and does not usually cause any side effects. Some people may get a rash while using heparinoid cream or gel but this is rare. Do not use heparinoid cream or gel on children younger than 5 years. Heparinoid should work within a few days if you're using it to treat bruises. It may take longer for your symptoms to get better if you have more severe bruising (haematoma), or for superficial thrombophlebitis.",
Hormone-replacement-therapy-HRT,"Hormone replacement therapy (HRT) is a treatment used to help menopause symptoms. It replaces the hormones oestrogen and progesterone, which fall to low levels as you approach the menopause. Menopause symptoms HRT can help to treat include: hot flushes night sweats sleep problems mood swings anxiety and low mood vaginal dryness Menopause is when your periods stop due to lower hormone levels. It usually affects women between the ages of 45 and 55 but it can happen earlier. It affects anyone who has periods. Oestrogen and progesterone are an essential part of period cycles, ovulation and pregnancy. They also keep your bones healthy. As you get older, the loss of these hormones can have a big effect on your body. To replace these hormones, you'll usually take a combination of oestrogen and progestogen. If you've had a hysterectomy to remove your womb you can take oestrogen on its own. Find out more about menopause Who can take HRT You can usually take HRT if you're having menopause symptoms. But HRT may not be suitable if you: have a history of breast cancer, ovarian cancer or womb cancer have a history of blood clots – you may need to use patches or gels rather than tablets have untreated high blood pressure – your blood pressure will need to be controlled before you can start HRT have liver disease are pregnant – it's still possible to get pregnant while taking HRT, so it's important to use contraception until 2 years after your last period if you're under 50, or for 1 year after the age of 50 If any of these apply to you, alternatives to HRT may be recommended instead. Non-urgent advice: See a GP if: you're over 45 years old and think you're having menopause symptoms and you're considering starting HRT you're under 45 years old and think you're having menopause symptoms – this may be premature menopause or early menopause Find out more about early menopause . Questions to ask your doctor Before you see a GP, it's a good idea to be prepared so you get exactly what you need from the appointment. If your periods have changed in recent months, make a note of it so you can tell the GP. Also tell them about any medicines or herbal remedies you're taking. Your questions could include: how will HRT help me? how soon will I feel better? what are the benefits and what are the risks? is HRT the only treatment I can have for my symptoms? how long will I have to take it for? how will I know what type will work best for me? A GP should be able to answer your questions and help you choose the type of HRT that's suitable for you. After you start taking HRT You'll usually start with a low dose, which may be increased later. Your symptoms should improve after a few days or weeks. A GP will usually recommend a review appointment 3 months after you start taking HRT, or if you change your type of HRT. This is to see how well it's working. If everything is OK, you'll usually have 1 review a year. If your symptoms do not improve or you get side effects, a GP may suggest either: changing your dose changing the type of HRT you're taking referring you to a menopause specialist doctor. You'll usually need to take HRT for 2 to 5 years, but it can be longer in some cases. If you do decide to take or use HRT, find out how to save money on your medicines with a prescription prepayment certificate . Further information Types of HRT There are many types of HRT, including different hormones and different ways to take or use it, such as tablets, patches or gel. Finding the right one for you can take some time. A GP can help you choose what type, method and treatment cycle is best for you. Find out more about the different types of HRT Benefits and risks The main benefit of HRT is that it can help with most menopause symptoms, such as hot flushes, mood swings and vaginal dryness. It can also help prevent weakening of the bones (osteoporosis). Find out more about the benefits and risks of HRT Side effects of HRT Like any medicine, HRT can cause side effects, but not everyone gets them. If you do get side effects, they're usually mild and pass within 3 months of starting treatment. Find out more about the side effects of HRT When to take HRT It may be difficult to know when to start HRT, how long to take it for and when to stop it. You may also want to know if you can take it while using contraception. Find out more about when to take HRT Alternatives to HRT If you're unable to take HRT or decide not to, you may want to consider other ways of controlling your menopause symptoms. These may include lifestyle changes, other medicines or herbal remedies. Find out more about alternatives to HRT",
Hydrocortisone-buccal-tablets,"Hydrocortisone is a type of medicine known as a steroid (also called a corticosteroid). Corticosteroids are not the same as anabolic steroids. Hydrocortisone buccal tablets relieve the soreness of mouth ulcers and speed up healing. The tablets stick gently to the inside of your mouth and release hydrocortisone as they dissolve. Hydrocortisone buccal tablets are usually prescribed by your doctor or are available from pharmacies. Important: Tablet shortage Due to a supply issue, hydrocortisone buccal tablets are not currently available on prescription or to buy at pharmacies. If you've been prescribed these tablets, speak to your doctor about suitable alternatives. Other types of hydrocortisone There are different types of hydrocortisone, including tablets you swallow, skin treatments and injections. Find out more about other ways you can use hydrocortisone to treat different health problems . Key facts Mouth ulcers will usually feel less sore within a few days of starting treatment and should heal within 5 days. You put hydrocortisone buccal tablets directly on top of your mouth ulcer. You'll usually use 4 hydrocortisone buccal tablets a day for up to 5 days. Leave the tablet to dissolve slowly against the ulcer. If you swallow or suck buccal tablets they will not work. If you have more than 1 ulcer, move the tablet around your mouth so the medicine can dissolve on each ulcer. Do not use more than 1 tablet at a time and do not use more than 4 in a day. Do not use buccal tablets for mouth ulcers which are caused by dentures (false teeth), an injury or an infection – they could make these ulcers worse.",
Hydrocortisone-for-piles-and-itchy-bottom,"Hydrocortisone is used in some medicines to treat: piles (haemorrhoids) inside or around your bottom (anus) itchy bottom These treatments do not cure piles, but they can help with the pain and itching. Hydrocortisone is a type of medicine known as a steroid (also called a corticosteroid). Corticosteroids are not the same as anabolic steroids. Hydrocortisone treatments for piles and itchy bottom come as creams, ointments, sprays and suppositories. You can buy some smaller sizes from a pharmacy, but others are only available on prescription. Some of these medicines also contain local anaesthetics and other medicines to soothe the symptoms. Other types of hydrocortisone There are other ways of taking or using hydrocortisone, including injections and tablets. Find out about other ways you can use hydrocortisone for different health problems . Key facts Some hydrocortisone creams and ointments can only be used on the outside of your body. The best type of treatment for you depends on your symptoms. You'll usually apply treatments several times a day – first thing in the morning, last thing at night and after you've done a poo. The pain and itching should get better within a few days of starting treatment. You're unlikely to have side effects from hydrocortisone, if you follow the instructions. Do not use hydrocortisone treatments for longer than 7 days. The local anaesthetic in them can make your skin sensitive. Long-term use can also make your skin thinner.",
Hydrocortisone-for-skin,"Hydrocortisone skin treatments are used to treat swelling, itching and irritation. They can help with the symptoms of: eczema psoriasis contact dermatitis heat rash (prickly heat) insect bites and stings nappy rash Hydrocortisone is a type of medicine known as a steroid (also called a corticosteroid). Corticosteroids are not the same as anabolic steroids. Hydrocortisone skin treatments come as: cream ointment lotion Most hydrocortisone skin treatments are mild and available to buy from pharmacies. Creams for insect bites and stings are also available to buy from shops, for adults and children aged 10 years old and over. Creams for nappy rash and other skin problems in children under 10 years old are only available on prescription. The strength of the products ranges from 0.1% (1mg of hydrocortisone in each gram) to 2.5% (25mg of hydrocortisone in each gram). Pharmacies sell hydrocortisone skin treatments up to a maximum 1% strength. There is a stronger hydrocortisone cream called hydrocortisone butyrate (brand name Locoid). This is only available on prescription. Sometimes hydrocortisone is mixed with antimicrobials (chemicals that kill germs). This is used to treat skin problems caused by bacterial or fungal infections. Other types of hydrocortisone There are other ways of taking or using hydrocortisone, including tablets and injections. Find out about other ways you can use hydrocortisone to treat different health problems . Key facts Most people need to use hydrocortisone skin treatments once or twice a day for 1 to 2 weeks. But if you buy it from a pharmacy or shop, do not use it for more than 1 week without talking to a doctor. You're unlikely to have side effects from hydrocortisone skin treatments if you use them for less than 4 weeks. Never put hydrocortisone on your face unless your doctor says it's OK and has given you a prescription for it. It can make some skin problems worse like impetigo, rosacea and acne. Only use hydrocortisone skin treatments on children under 10 years old if a doctor recommends it. Skin creams should not be used on the eyes, around the bottom or genitals, or on broken or infected skin. If you use hydrocortisone for a long time your doctor might advise you to reduce your dose gradually to avoid withdrawal reactions.",
Hydrocortisone-injections,"Hydrocortisone injections, also called corticosteroid injections, are used to treat swollen or painful joints, or muscle pain. You may get this type of pain after an injury or if you have arthritis . They're also used to treat painful tendons and bursitis (when the fluid-filled sacs that cushion a joint become swollen). Hydrocortisone injections usually help relieve pain and swelling to make movement easier. The benefits can last for 2 to 3 months. Hydrocortisone is a type of medicine known as a steroid (or corticosteroid). Corticosteroids are not the same as anabolic steroids . Hydrocortisone injections are only available on prescription. They're usually given by a specially trained doctor in a GP surgery or hospital clinic. In an emergency, medical staff may give higher dose hydrocortisone injections to treat severe asthma, allergic reactions, severe shock due to injury or infection, or failure of the adrenal glands. There are different types of hydrocortisone. These include: skin creams tablets sprays, ointments and suppositories Find out more about other ways you can use hydrocortisone for different health conditions . Key facts After a hydrocortisone injection, your joint may feel better for several months, sometimes up to a year. Your joint pain and swelling may immediately feel worse after an injection. This pain usually goes away after a few days. Depending on the joint you're having treated, you may be able to have injections in the same place up to 4 times a year. Hydrocortisone injections can affect your immune system, so you're more likely to get infections. Tell your doctor if you get an infection, such as COVID-19, or if you come into contact with chickenpox , shingles or measles as these infections could make you very ill. If you or your child have been having hydrocortisone injections for a long time, you may need a red steroid emergency card (for adults) or an adrenal insufficiency card (for children). Ask your pharmacist or doctor if you do not have one.",
Hydrocortisone-tablets,"Hydrocortisone tablets are a type of medicine known as a steroid (corticosteroid). Corticosteroids are not the same as anabolic steroids. Hydrocortisone tablets work as a hormone replacement for a natural hormone called cortisol. You may take hydrocortisone tablets if your body does not make enough cortisol – for example if you have Addison's disease or if you've had your adrenal glands taken out. They can also be prescribed for hypopituitarism, a rare condition affecting the pituitary gland. Hydrocortisone tablets come as standard tablets, slow-release tablets and soluble tablets. These are only available on prescription. Other types of hydrocortisone There are different types of hydrocortisone, including skin treatments and injections. Find out more about other ways you can use hydrocortisone to treat different health problems . Key facts The most common side effects of hydrocortisone tablets are feeling dizzy, headaches, swollen ankles and feeling weak or tired. Taking hydrocortisone tablets can mean you're more likely to get infections. Tell your doctor if you get an infection, such as COVID-19, or if you come into contact with anyone who has chickenpox , shingles or measles . Tell anyone who is giving you medical or dental treatment that you're taking hydrocortisone tablets. You may need a higher dose of hydrocortisone for a while. Hydrocortisone tablets can cause extra side effects if you stop taking them suddenly. Do not stop taking the medicine without talking to your doctor. If you take hydrocortisone tablets for more than 3 weeks, or you're on a high dose, you'll get a blue steroid card. You may also need to carry a red steroid emergency card (for adults), or an adrenal insufficiency card (for children). You will need to carry a steroid emergency card (for adults), or an adrenal insufficiency card (for children), if you take hydrocortisone tablets to treat Addison's disease, congenital adrenal hyperplasia, other adrenal conditions, adrenal insufficiency or hypothalamic or pituitary disorder. Do not stop taking these tablets if you're taking it for these conditions.","The most common side effects of hydrocortisone tablets are feeling dizzy, headaches, swollen ankles and feeling weak or tired."
Hydroxocobalamin,"Hydroxocobalamin is a manufactured version of the vitamin B12. It's used to treat and prevent vitamin B12 deficiency anaemia, where you have low levels of this vitamin in your body. Your body requires vitamin B12 to make red blood cells. You can get it from your food or supplements, but sometimes there may not be enough vitamins in what you eat. This can happen if you are vegan or you do not eat much meat or dairy products. The most common cause of vitamin B12 deficiency in the UK is pernicious anaemia (an autoimmune condition that affects your stomach). Vitamin B12 deficiency can also be a side effect of metformin , a diabetes medicine, particularly if you take a high dose of metformin or if you take it for a long time. Hydroxocobalamin is only available on prescription. It is given as an injection. This will usually be at your GP surgery but you might sometimes have it in hospital. Key facts Hydroxocobalamin starts to work straight away. However, it may take a few days or weeks before your symptoms start to improve and you feel better. At first, you may need to have the injection a few times a week to boost your levels of vitamin B12. Once your condition improves, you might only have it every few months. Some common side effects are feeling or being sick and diarrhoea. You may have some pain, swelling or itching where you had the injection. This is usually mild and does not last long. It's safe to take for a long time. Some people need to take hydroxocobalamin for the rest of their lives.",
Hydroxychloroquine,"Hydroxychloroquine is a type of medicine called a disease-modifying anti-rheumatic drug (DMARD). It works by blocking the effects of the chemicals released when your immune system attacks your body. It's used to treat inflammatory conditions, including rheumatoid arthritis , juvenile idiopathic arthritis (inflammation of joints in children) and lupus . It's also used to treat some other skin conditions including sarcoidosis , photosensitive skin disorders (where your skin reacts to sunlight), lichen planus and urticarial vasculitis . Hydroxychloroquine reduces swelling (inflammation), pain and stiffness of joints, and can improve or clear up some rashes. It's sometimes used with another DMARD such as methotrexate or a short course of steroids to relieve pain. Hydroxychloroquine is only available on prescription. It comes as tablets. Key facts For conditions such as rheumatoid arthritis, lupus and skin conditions, you'll usually take 1 or 2 hydroxychloroquine tablets every day. It may take several weeks before you notice an improvement in your condition. Side effects can include stomach pain, feeling or being sick and skin rashes. Hydroxychloroquine can make you more likely to get infections. Try to avoid close contact with people who you know are unwell. Hydroxychloroquine can affect your eyes. You will need to have your eyes examined every year if you have taken it for more than 5 years. These yearly eye examinations may start earlier if you're at increased risk of problems. If you take hydroxychloroquine for a long time, you may need to have full blood counts (tests to check the types and numbers of cells in your blood) and muscle function tests.",
Ibuprofen-for-children,"Ibuprofen is a common painkiller for children. It's often used to treat symptoms of conditions such as colds , flu and coronavirus (COVID-19) , teething , toothache , headaches , sore throat and pain from ear infections . Ibuprofen also treats swelling (inflammation), such as aches and pains after an injury like a sprain , or because of a health condition like childhood (juvenile) arthritis. You can also give ibuprofen to your child if they have a high temperature (fever) and they feel distressed or unwell. For children aged 3 months to 12 years, ibuprofen comes as a liquid (oral suspension) or as chewable capsules. For children aged 12 years or older, ibuprofen is available as tablets, capsules and granules that you dissolve in water to make a drink. You can buy most types of ibuprofen from pharmacies and supermarkets. Some types, such as ibuprofen granules, are only available on prescription. For 18 years and older, read our information on ibuprofen for adults . Key facts Ibuprofen comes in different strengths. The strength and dosage for your child depends on their age (and sometimes weight), so always read the instructions carefully. Your child should start to feel better about 20 to 30 minutes after taking ibuprofen. It's best to give ibuprofen with, or just after, a meal so it does not give them indigestion. Do not give it on an empty stomach. Talk to a doctor if your child needs to take ibuprofen for more than 3 days (or 1 day if they're under 6 months) or their symptoms do not improve or they get worse. Do not give ibuprofen to your child if they have asthma , unless their doctor has said it's OK.",
Indapamide,"Indapamide is a type of medicine called a diuretic. Diuretics are sometimes called ""water tablets"" because they make you pee more. This helps get rid of extra fluid in your body. Indapamide is used to treat high blood pressure (hypertension) . It's also sometimes used to treat heart failure and the build up of fluid in your body ( oedema ). Indapamide is only available on prescription. It comes as standard tablets and slow release tablets, which release the medicine into your body gradually. Indapamide sometimes comes mixed with perindopril to also treat high blood pressure. Key facts You'll usually take indapamide once a day, in the morning. The most common side effect is a skin rash. Indapamide is not usually recommended during pregnancy or if you're breastfeeding. Indapamide can cause low levels of sodium (salt) in your body, so very strict low-salt diets are not recommended. You can drink alcohol while taking indapamide but drinking too much can lower your blood pressure and make you feel dizzy or light-headed.",
Irbesartan,"Irbesartan is an angiotensin receptor blocker (ARB) medicine widely used to treat high blood pressure (hypertension). It relaxes and widens your blood vessels. This lowers your blood pressure and makes it easier for your heart to pump blood around your body. It also helps to prevent future strokes , heart attacks and diabetic kidney disease. If you have diabetic kidney disease, it helps to protect your kidneys and slows down the disease. It reduces high blood pressure and the amount of protein you lose through your kidneys. Irbesartan is only available on prescription. It comes as tablets. Key facts Irbesartan is often used as a second-choice treatment. Your doctor may prescribe it if you had to stop taking a similar medicine because it gave you a dry, irritating cough. The main side effects of irbesartan are feeling dizzy, headaches, feeling or being sick and low blood pressure (hypotension) – but they're usually mild and only last for a short time. Tell your doctor if you get severe diarrhoea or vomiting from a stomach bug or illness. You may need to stop taking irbesartan for a while until you feel better. Irbesartan is not recommended in pregnancy. Talk to your doctor if you're trying to get pregnant or you're already pregnant. Irbesartan can make some people feel dizzy – especially when you first start taking it or after taking a bigger dose. If this happens to you, do not drive a car, ride a bike, or use tools or machinery. Drinking alcohol can increase the blood pressure-lowering effect of irbesartan, which can make you feel dizzy or light-headed. Do not drink alcohol if it makes you feel dizzy.",
Ketoconazole,"Ketoconazole is an antifungal medicine . It's used to treat skin infections caused by a fungus (yeast). It can also prevent them coming back. It treats different types of fungal infections including: athlete's foot jock itch, an infection in the groin area sweat rash (intertrigo), a rash that usually appears in folds of skin dandruff and seborrhoeic dermatitis, where your scalp or other areas of your skin become scaly and dry or greasy pityriasis versicolor , sometimes called tinea versicolor, where small patches of skin become scaly and change colour Ketoconazole works by killing the fungus that causes the infection. Ketoconazole is available as a cream or shampoo. You can buy most ketoconazole creams and shampoos in pharmacies and shops. You can also get them on prescription. For treating pityriasis versicolor, you'll need a prescription. Ketoconazole also comes as tablets but these usually only treat a rare condition called Cushing's syndrome . The tablets are available on prescription only, and they are not covered here. Key facts Ketoconazole usually works within 2 to 3 weeks for most fungal infections, but it can take 6 weeks for athlete's foot to get better. The most common side effect of ketoconazole cream and shampoo is irritated skin. For most infections, you'll usually use the cream once or twice a day and the shampoo twice a week. Some people use ketoconazole shampoo every 1 to 2 weeks to help stop dandruff coming back.",
Labetalol,"Labetalol is a beta blocker medicine, used to treat high blood pressure (hypertension) , including high blood pressure in pregnancy . If you have high blood pressure, taking labetalol helps to prevent future heart disease , heart attacks and strokes . It can also be used to prevent chest pain caused by angina . Labetalol works by slowing down your heart rate and making it easier for your heart to pump blood around your body. This medicine is only available on prescription. It comes as tablets. It can also be given as an injection in hospital. Key facts You'll usually take labetalol twice a day. Some people take it 3 or 4 times a day. The most common side effects of labetalol are feeling dizzy, sleepy or weak, headaches, cold fingers and toes, and feeling or being sick (nausea and vomiting). These usually happen at the start of treatment and do not last long. Labetalol is one of the first choice medicines for treating high blood pressure during pregnancy. Do not stop taking labetalol suddenly, especially if you have heart disease. This can make your condition worse. If you're taking labetalol for high blood pressure or angina, treatment is usually long term. You may take it for the rest of your life.","The most common side effects of labetalol are feeling dizzy, sleepy or weak, headaches, cold fingers and toes, and feeling or being sick (nausea and vomiting). These usually happen at the start of treatment and do not last long."
Lactulose,"Lactulose is a laxative taken to treat constipation (difficulty pooing). It's also taken to help a condition caused by severe liver disease called hepatic encephalopathy. Lactulose comes as a sweet syrup that you swallow. It's available on prescription and to buy from pharmacies. Key facts Lactulose relieves constipation by drawing water into your bowel to make poo softer. The most common side effects are diarrhoea, bloating and wind. These are usually mild and do not last long. Lactulose takes at least 2 days to work. Talk to your doctor if your constipation has not improved after 4 or 5 days. If you find the taste of lactulose too sweet, you can dilute it with fruit juice or water.","The most common side effects are diarrhoea, bloating and wind. These are usually mild and do not last long."
Lamotrigine,"Lamotrigine is a medicine used to treat epilepsy . It can also help prevent low mood (depression) in adults with bipolar disorder . Seizures are bursts of electrical activity in the brain that temporarily affect how it works. Lamotrigine slows these electrical signals down to stop seizures. Lamotrigine is available on prescription. It comes either as tablets you swallow, or tablets you chew or dissolve in water to make a drink. Key facts You'll usually take lamotrigine once or twice a day. You can take it with or without food. It can take up to 6 weeks for lamotrigine to work. You may still have seizures or feel low during this time. The most common side effects of lamotrigine are skin rashes and headaches. You can drink alcohol with lamotrigine but it may make you feel sleepy or tired, and alcohol and hangovers can bring on seizures in some people with epilepsy. Do not stop taking lamotrigine without talking to your doctor first. If you have epilepsy, you're entitled to free prescriptions for all of your medicines, not just your epilepsy ones.",The most common side effects of lamotrigine are skin rashes and headaches.
Latanoprost,"Latanoprost is a prostaglandin analogue medicine that treats high pressure inside the eye and helps treat glaucoma . High pressure is usually caused by fluid building up in the front part of the eye, which can then increase pressure inside the eye. If not treated, high pressure can damage your optic nerve and cause vision loss or blindness. Latanoprost is available on prescription only. It comes as eye drops, either in eye drop bottles with a preservative in, or in single-dose droppers that are preservative-free. You may sometimes be prescribed eye drops containing both latanoprost and timolol (a beta blocker). Key facts You’ll usually use latanoprost eye drops once a day. The eye drops should help reduce the pressure within 3 to 4 hours. Common side effects include permanent eye colour change, eyelash growth, and an increased sensitivity to light. It's important to use your eye drops regularly and to go for check-ups, to make sure your vision is not getting worse. Once open, a bottle of eye drops will last for up to 4 weeks and a single dose dropper should be thrown away straight after use.",
Lercanidipine,"Lercanidipine is a calcium channel blocker medicine used to treat high blood pressure (hypertension) . If you have high blood pressure, taking lercanidipine helps prevent heart disease , heart attacks and strokes . Lercanidipine is only available on prescription. It comes as tablets. Key facts Lercanidipine lowers your blood pressure and makes it easier for your heart to pump blood around your body. Lercanidipine starts to work on the day you start taking it, but it may take a couple of weeks to take full effect. You'll usually take lercanidipine once a day. You can take it at any time of day, but try to make sure it's around the same time each day. You do not need to take it on an empty stomach, but fatty food can increase the amount of lercanidipine your body takes in and make you more likely to have side effects. It's best to take it at least 15 minutes before a meal. Do not eat grapefruit or drink grapefruit juice while you're taking lercanidipine. It can increase the amount of lercanidipine in your body and cause side effects.",
Letrozole,"Letrozole is a medicine used to treat breast cancer and help to prevent breast cancer coming back. It's mainly prescribed for women who have been through the menopause and have a type of cancer called hormone-dependent breast cancer. Most people who take letrozole will have had primary treatment such as surgery, radiotherapy or sometimes chemotherapy to treat their breast cancer first. Letrozole is an additional (adjuvant) treatment which helps stop the cancer coming back. Letrozole is sometimes given alongside another breast cancer medicine, called tamoxifen. Letrozole is available on prescription only and comes as tablets. It can also be used: to prevent breast cancer if you're high risk and have been through the menopause to treat cancer if you cannot have surgery, or to shrink the cancer before surgery if you cannot have chemotherapy It can sometimes be used to treat breast cancer in men , or in women who have not reached the menopause. Letrozole can occasionally be used as a fertility treatment if you have polycystic ovary syndrome (PCOS). If you're taking it as a fertility treatment and you need more information, speak to your specialist. Find out more about medicines used as fertility treatments . Find out more about polycystic ovary syndrome (PCOS) . Key facts You'll usually take letrozole once a day. Try to take it at the same time each day. Most people take letrozole for 5 years, but some will take it for up to 10 years. Common side effects include symptoms similar to the menopause such as hot flushes, tiredness and low mood. Side effects usually improve after a few months. Your doctor will monitor your blood pressure, cholesterol levels and bone density during your treatment. If letrozole makes you feel tired or dizzy, or if you get blurred vision, do not drive a car, ride a bike, or use tools or machinery until you feel better.",
Levetiracetam,"Levetiracetam is a medicine used to treat epilepsy. Seizures are bursts of electrical activity in the brain that temporarily affect how it works. Levetiracetam slows these electrical signals down to stop seizures. Levetiracetam is available on prescription. It comes as tablets, a liquid and granules. Key facts You'll usually start taking levetiracetam once a day and increase to twice a day. The most common side effects of levetiracetam are headaches, feeling sleepy and a blocked nose or itchy throat. Levetiracetam can make you feel sleepy, tired or dizzy when you start taking it or increase your dose. It can also affect your vision. If this happens to you, do not drive, ride a bike or operate machinery until this goes away. It can take a few weeks for levetiracetam to work. You may still have seizures during this time. If you have epilepsy, you're entitled to free prescriptions for all of your medicines, not just your epilepsy ones. You'll need a medical exemption certificate to claim your free prescriptions.","The most common side effects of levetiracetam are headaches, feeling sleepy and a blocked nose or itchy throat."
Lidocaine-for-mouth-and-throat,"Lidocaine is a local anaesthetic that numbs the area where you use it. It's used in some medicines to treat: mouth ulcers sore throats teething soreness caused by false teeth ( dentures ) Lidocaine treatments for mouth and throat come as gels, ointments, liquids, sprays and lozenges. You can buy them from a pharmacy. Some treatments are also available to buy in shops. Nearly all lidocaine mouth and throat treatments contain other active ingredients, such as antiseptics to help kill germs. There are different types of lidocaine for other conditions, including medicated plasters, skin creams and suppositories. Find out more about using lidocaine skin cream and lidocaine for piles and itchy bottom . Key facts Lidocaine numbs pain quickly. You should start to feel better within 30 minutes. It's generally a safe medicine and side effects are rare. If your baby is teething, check the instructions carefully before giving them lidocaine. Not all treatments are suitable for young children. For teething, it's best to try other things such as teething rings first before using a medicine. Read about tips for helping your teething baby . Be careful of having hot food and drinks after using lidocaine. The numbing effect means you could burn your mouth.",
Lidocaine-for-piles-and-itchy-bottom,"Lidocaine is a local anaesthetic that numbs the area where you use it. It's used in some medicines to treat: piles (haemorrhoids) inside or around your bottom (anus) itchy bottom These treatments do not cure piles but they can help with the pain and itching. Lidocaine treatments for piles come as creams, ointments, sprays and suppositories. You can buy them from a pharmacy. Some treatments contain lidocaine mixed with a corticosteroid like hydrocortisone. If you're using hydrocortisone treatments for piles , check the leaflet that comes with your medicine as the instructions are different. There are different types of lidocaine for other conditions, including medicated plasters, injections and gels. Find out more about using lidocaine for mouth and throat for mouth ulcers, teething or sore throat, or lidocaine skin cream for numbing the skin before a procedure involving a needle. Key facts Lidocaine treatments are used in different ways. Some creams and ointments are for internal use inside your bottom (anus) only, while others go on your skin. Always check the instructions. You'll generally use lidocaine for piles or itchy bottom several times a day – first thing in the morning, last thing at night and every time you poo. It works quickly and you should start to feel better within 1 hour. Most people do not have any side effects from lidocaine for piles or itchy bottom. You might get a burning feeling when you first put it on, but this only lasts a few minutes. Do not use lidocaine for longer than recommended. The local anaesthetic can make your skin sensitive over time or if you use it for too long.",
Lidocaine-skin-cream,"Lidocaine is a local anaesthetic . Using the skin cream makes your skin numb. It works by stopping nerves from sending pain signals to your brain. You can use it before having blood taken or having a drip put in. Your doctor or nurse may also tell you to use it before having a small surgical procedure. Lidocaine skin cream is available on prescription. You can also buy it from a pharmacy to use before any cosmetic procedure involving a needle. Some of the skin creams contain lidocaine mixed with other local anaesthetics such as prilocaine. There are different types of lidocaine for other conditions, including mouth gels, throat sprays, suppositories and medicated plasters. Find out more about using lidocaine for mouth and throat for mouth ulcers, teething or sore throat, or lidocaine for piles and itchy bottom . Key facts Lidocaine skin cream works quite quickly. Most people will start to feel a numbing effect within 30 to 60 minutes. Only use the cream on undamaged skin. Do not put it on cuts or grazes. Lidocaine skin cream is generally very safe. The most common side effects are itching and tingling. Avoid scratching or rubbing the treated area of skin, or exposing it to extreme heat or cold, until the numbing effect has worn off. If you buy lidocaine skin cream from a pharmacy to use before a cosmetic procedure, tell the person doing the procedure that you've used it.",Lidocaine skin cream is generally very safe. The most common side effects are itching and tingling.
Linagliptin,"Linagliptin is a medicine used to treat type 2 diabetes . Type 2 diabetes is a condition where the body does not make enough insulin, or the insulin that it makes does not work properly. This can cause high blood sugar levels ( hyperglycaemia ). Linagliptin is usually prescribed when a healthy diet and exercise alone have not been enough to control your blood sugar levels. It works by increasing the amount of insulin that your body makes. Insulin is the hormone that controls sugar levels in your blood. Linagliptin is only available on prescription. It comes as tablets. It also comes as tablets containing a mixture of linagliptin and metformin (called Jantadueto) and as tablets containing a mixture of linagliptin and empagliflozin (called Glyxambi). Key facts Linagliptin starts to work within a few hours. You need to take it every day to make sure your blood sugar stays as stable as possible. You take linagliptin once a day. Most people have no side effects, or only minor ones, when taking linagliptin. It will not usually make you put on or lose weight. If you have diabetes, you're entitled to free prescriptions for all of your medicines, not just your diabetes ones.",
